time,lab_id,occupancy,temperature,cooling_needed
18:00,Lab4,3,22,Low
15:00,Lab4,35,26,Medium
12:00,Lab3,26,29,High
8:00,Lab2,10,29,Low
17:00,Lab4,6,31,Low
13:00,Lab3,2,25,Low
10:00,Lab1,21,26,Medium
14:00,Lab3,25,30,Medium
11:00,Lab3,13,24,Low
9:00,Lab1,8,26,Low
13:00,Lab4,36,30,High
8:00,Lab2,3,20,Low
13:00,Lab3,34,23,Low
15:00,Lab2,21,25,Medium
13:00,Lab2,32,30,High
13:00,Lab1,4,26,Low
17:00,Lab4,34,20,Low
8:00,Lab1,5,27,Low
13:00,Lab2,2,24,Low
15:00,Lab2,30,27,Medium
18:00,Lab3,7,22,Low
14:00,Lab1,18,30,Medium
17:00,Lab1,24,23,Low
14:00,Lab2,37,30,High
18:00,Lab2,21,26,Medium
9:00,Lab1,2,28,Low
17:00,Lab4,9,22,Low
17:00,Lab2,9,21,Low
8:00,Lab2,19,31,Medium
10:00,Lab3,29,22,Low
11:00,Lab2,14,20,Low
11:00,Lab3,27,30,High
16:00,Lab2,10,28,Low
10:00,Lab4,16,21,Low
8:00,Lab3,17,25,Medium
16:00,Lab2,33,22,Low
12:00,Lab1,15,22,Low
18:00,Lab4,39,22,Low
18:00,Lab4,28,21,Low
8:00,Lab2,14,20,Low
8:00,Lab1,13,25,Medium
15:00,Lab4,39,30,High
17:00,Lab1,37,21,Low
14:00,Lab2,6,31,Low
9:00,Lab4,31,30,High
17:00,Lab1,27,28,Medium
15:00,Lab4,22,25,Medium
14:00,Lab1,38,20,Low
10:00,Lab2,15,31,Medium
14:00,Lab2,34,25,Medium
8:00,Lab3,38,29,High
16:00,Lab1,34,23,Low
12:00,Lab4,21,21,Low
8:00,Lab4,18,28,Medium
17:00,Lab1,16,20,Low
12:00,Lab2,27,20,Low
18:00,Lab4,33,30,High
8:00,Lab1,5,21,Low
12:00,Lab2,26,22,Low
11:00,Lab4,30,24,Low
15:00,Lab3,5,32,Low
12:00,Lab1,3,24,Low
17:00,Lab3,7,22,Low
15:00,Lab1,3,28,Low
17:00,Lab4,31,31,High
13:00,Lab4,26,25,Medium
11:00,Lab1,31,20,Low
14:00,Lab2,10,30,Low
14:00,Lab2,29,29,High
14:00,Lab1,36,29,High
14:00,Lab4,36,31,High
14:00,Lab3,25,24,Low
18:00,Lab4,10,30,Low
18:00,Lab2,22,28,Medium
10:00,Lab3,18,23,Low
12:00,Lab2,6,25,Low
17:00,Lab2,30,29,High
14:00,Lab1,25,27,Medium
11:00,Lab1,13,29,Medium
15:00,Lab2,26,21,Low
16:00,Lab4,4,29,Low
18:00,Lab1,6,32,Low
8:00,Lab4,10,23,Low
14:00,Lab2,36,22,Low
16:00,Lab2,2,31,Low
15:00,Lab2,28,30,High
12:00,Lab2,3,20,Low
8:00,Lab4,39,20,Low
18:00,Lab4,2,21,Low
17:00,Lab2,0,29,Low
17:00,Lab4,10,20,Low
15:00,Lab4,11,25,Medium
17:00,Lab2,34,25,Medium
10:00,Lab2,16,23,Low
10:00,Lab4,22,20,Low
12:00,Lab2,3,32,Low
17:00,Lab4,13,32,Medium
18:00,Lab2,21,22,Low
16:00,Lab3,30,23,Low
14:00,Lab1,33,23,Low
16:00,Lab3,12,23,Low
9:00,Lab3,12,24,Low
11:00,Lab1,10,28,Low
8:00,Lab4,37,26,Medium
8:00,Lab2,40,23,Low
11:00,Lab3,31,27,Medium
9:00,Lab3,28,23,Low
8:00,Lab3,39,26,Medium
18:00,Lab4,6,32,Low
17:00,Lab3,27,30,High
14:00,Lab4,23,28,Medium
9:00,Lab4,23,27,Medium
14:00,Lab1,24,26,Medium
13:00,Lab2,32,30,High
10:00,Lab1,7,27,Low
10:00,Lab2,26,27,Medium
12:00,Lab1,6,30,Low
9:00,Lab4,17,23,Low
11:00,Lab4,23,26,Medium
10:00,Lab1,12,29,Medium
16:00,Lab4,4,26,Low
12:00,Lab3,24,31,Medium
16:00,Lab3,15,24,Low
9:00,Lab1,11,29,Medium
9:00,Lab2,33,21,Low
18:00,Lab4,33,30,High
13:00,Lab3,17,26,Medium
17:00,Lab4,7,27,Low
15:00,Lab2,11,27,Medium
9:00,Lab3,28,29,High
18:00,Lab1,35,26,Medium
16:00,Lab4,31,22,Low
9:00,Lab2,40,22,Low
9:00,Lab3,1,28,Low
18:00,Lab4,9,23,Low
15:00,Lab2,15,22,Low
16:00,Lab4,12,22,Low
9:00,Lab1,0,29,Low
12:00,Lab4,38,21,Low
9:00,Lab2,16,27,Medium
12:00,Lab4,30,30,High
15:00,Lab3,13,27,Medium
12:00,Lab3,14,25,Medium
14:00,Lab3,1,22,Low
16:00,Lab4,22,32,Medium
9:00,Lab1,21,25,Medium
8:00,Lab3,33,25,Medium
15:00,Lab2,40,29,High
11:00,Lab3,31,22,Low
17:00,Lab2,26,20,Low
10:00,Lab1,17,24,Low
18:00,Lab1,11,26,Medium
14:00,Lab3,28,24,Low
14:00,Lab3,1,27,Low
8:00,Lab1,2,30,Low
17:00,Lab2,3,32,Low
13:00,Lab3,8,27,Low
16:00,Lab1,37,29,High
10:00,Lab3,2,21,Low
16:00,Lab1,32,27,Medium
12:00,Lab2,22,31,Medium
14:00,Lab3,28,32,High
17:00,Lab4,16,26,Medium
9:00,Lab4,13,23,Low
13:00,Lab1,33,21,Low
12:00,Lab3,7,32,Low
8:00,Lab3,25,32,Medium
16:00,Lab4,13,22,Low
13:00,Lab2,32,27,Medium
14:00,Lab3,29,22,Low
11:00,Lab4,3,30,Low
10:00,Lab2,30,22,Low
11:00,Lab2,8,32,Low
12:00,Lab1,9,23,Low
16:00,Lab4,33,24,Low
16:00,Lab1,38,31,High
13:00,Lab1,25,29,Medium
13:00,Lab3,38,29,High
10:00,Lab1,39,20,Low
15:00,Lab2,39,24,Low
15:00,Lab4,16,29,Medium
14:00,Lab1,4,24,Low
8:00,Lab2,34,27,Medium
12:00,Lab2,39,22,Low
10:00,Lab2,35,20,Low
14:00,Lab1,27,28,Medium
16:00,Lab1,23,23,Low
12:00,Lab1,20,25,Medium
12:00,Lab3,39,25,Medium
13:00,Lab3,19,32,Medium
17:00,Lab3,3,24,Low
15:00,Lab3,17,25,Medium
14:00,Lab3,3,30,Low
17:00,Lab3,30,25,Medium
13:00,Lab1,24,24,Low
18:00,Lab4,12,26,Medium
8:00,Lab4,31,21,Low
8:00,Lab4,14,26,Medium
14:00,Lab4,17,32,Medium
16:00,Lab1,9,30,Low
10:00,Lab1,35,30,High
17:00,Lab2,20,27,Medium
18:00,Lab3,16,29,Medium
16:00,Lab3,9,24,Low
10:00,Lab4,40,25,Medium
17:00,Lab3,11,24,Low
18:00,Lab4,13,24,Low
8:00,Lab2,28,20,Low
18:00,Lab1,3,28,Low
15:00,Lab3,14,29,Medium
18:00,Lab3,9,23,Low
9:00,Lab2,8,22,Low
13:00,Lab3,27,29,High
17:00,Lab3,36,23,Low
18:00,Lab2,36,28,Medium
17:00,Lab4,5,24,Low
15:00,Lab4,11,22,Low
13:00,Lab3,2,31,Low
15:00,Lab4,35,27,Medium
8:00,Lab3,22,20,Low
8:00,Lab3,7,23,Low
14:00,Lab3,32,20,Low
8:00,Lab2,39,21,Low
13:00,Lab3,2,23,Low
14:00,Lab2,38,20,Low
8:00,Lab4,12,20,Low
16:00,Lab4,34,30,High
11:00,Lab3,33,23,Low
8:00,Lab3,8,27,Low
13:00,Lab1,7,22,Low
17:00,Lab4,38,26,Medium
16:00,Lab4,34,24,Low
14:00,Lab3,10,22,Low
10:00,Lab3,7,31,Low
16:00,Lab4,27,29,High
8:00,Lab3,4,21,Low
16:00,Lab2,1,24,Low
12:00,Lab3,2,22,Low
18:00,Lab1,22,25,Medium
10:00,Lab3,39,26,Medium
9:00,Lab2,39,32,High
16:00,Lab1,7,23,Low
16:00,Lab3,23,23,Low
12:00,Lab1,26,30,High
17:00,Lab3,5,20,Low
18:00,Lab3,3,27,Low
18:00,Lab1,34,26,Medium
17:00,Lab4,8,20,Low
12:00,Lab2,4,21,Low
16:00,Lab2,11,24,Low
15:00,Lab4,3,20,Low
8:00,Lab1,10,24,Low
13:00,Lab1,8,22,Low
12:00,Lab1,12,23,Low
18:00,Lab3,30,30,High
13:00,Lab1,25,31,Medium
12:00,Lab1,15,20,Low
11:00,Lab3,37,28,Medium
12:00,Lab4,22,30,Medium
10:00,Lab4,35,21,Low
10:00,Lab2,13,28,Medium
14:00,Lab2,0,29,Low
14:00,Lab3,27,20,Low
12:00,Lab1,32,22,Low
